confidence,edge_id,example_title,provenance,provider_version,relation,source_document,source_path,source_type,support_count,target_path,target_type,annotator_1_valid,annotator_2_valid,notes
0.55,ref:aws_amplify_backend_environment.->aws_amplify_app.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_amplify_backend_environment,1,id,aws_amplify_app,,,
0.55,ref:aws_lambda_function_event_invoke_config.->aws_lambda_alias.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_lambda_function_event_invoke_config,1,id,aws_lambda_alias,,,
0.55,ref:aws_route53_record.->aws_route53_zone.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_route53_record,1,id,aws_route53_zone,,,
0.55,ref:aws_bedrockagent_agent.->aws_iam_role.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_bedrockagent_agent,1,id,aws_iam_role,,,
0.55,ref:aws_wafv2_web_acl_association.->aws_api_gateway_rest_api.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_wafv2_web_acl_association,1,id,aws_api_gateway_rest_api,,,
0.55,ref:aws_default_network_acl.subnet_ids->aws_subnet.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,subnet_ids,aws_default_network_acl,1,id,aws_subnet,,,
0.55,ref:aws_vpc_ipv6_cidr_block_association.->aws_vpc_ipam_pool.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_vpc_ipv6_cidr_block_association,1,id,aws_vpc_ipam_pool,,,
0.55,ref:aws_medialive_channel.->aws_medialive_input.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_medialive_channel,1,id,aws_medialive_input,,,
0.55,ref:aws_cloudfront_distribution.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cloudfront_distribution,1,id,aws_s3_bucket,,,
0.55,ref:aws_storagegateway_file_system_association.->aws_ssm_parameter.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_storagegateway_file_system_association,1,id,aws_ssm_parameter,,,
0.55,ref:aws_cleanrooms_membership.role_arn->aws_iam_role.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,role_arn,aws_cleanrooms_membership,1,id,aws_iam_role,,,
0.55,ref:aws_lb_target_group_attachment.target_group_arn->aws_lb_target_group.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,target_group_arn,aws_lb_target_group_attachment,1,id,aws_lb_target_group,,,
0.55,ref:aws_sagemaker_domain.security_group_ids->aws_security_group.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,security_group_ids,aws_sagemaker_domain,1,id,aws_security_group,,,
0.55,ref:aws_cloudwatch_log_delivery.->aws_cloudwatch_log_delivery_destination.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cloudwatch_log_delivery,1,id,aws_cloudwatch_log_delivery_destination,,,
0.55,ref:aws_rds_export_task.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_rds_export_task,1,id,aws_s3_bucket,,,
0.55,ref:aws_quicksight_dashboard.->aws_quicksight_data_set.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_quicksight_dashboard,1,id,aws_quicksight_data_set,,,
0.55,ref:aws_lb.subnet_id->aws_subnet.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,subnet_id,aws_lb,1,id,aws_subnet,,,
0.55,ref:aws_servicecatalogappregistry_attribute_group_association.->aws_servicecatalogappregistry_application.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_servicecatalogappregistry_attribute_group_association,1,id,aws_servicecatalogappregistry_application,,,
0.55,ref:aws_ec2_managed_prefix_list.->aws_vpc.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ec2_managed_prefix_list,1,id,aws_vpc,,,
0.55,ref:aws_kinesis_firehose_delivery_stream.->aws_iam_policy_document.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_kinesis_firehose_delivery_stream,1,id,aws_iam_policy_document,,,
0.55,ref:aws_rds_cluster_instance.->aws_rds_cluster.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_rds_cluster_instance,1,id,aws_rds_cluster,,,
